"County","Sector","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","Total Usage"
"ORANGE","Residential","    6814.131321","    6758.514800","    6660.559695","    6875.759330","    7027.539817","    6842.062179","    7074.021243","    6696.172403","    6611.917293","    6917.070115","    7138.559207","    6867.750651","    6851.103743","    6717.035444","    6570.917474","    6257.849759","    5827.493490","    5382.150911","  119890.608875"
"PLACER","Non-Residential","    1484.896205","    1497.628275","    1536.053019","    1529.567565","    1546.175447","    1514.314695","    1526.624368","    1542.778196","    1550.784425","    1584.539092","    1659.792728","    1678.212251","    1501.618425","    1433.111588","    1497.078515","    1412.925376","    1381.381364","    1327.111306","   27204.592840"
"PLACER","Residential","    1420.754389","    1473.476833","    1402.455219","    1365.818731","    1371.385081","    1367.259355","    1385.039520","    1351.899060","    1334.987270","    1368.091646","    1361.152214","    1327.189693","    1334.732220","    1262.960999","    1215.669029","    1145.232284","    1055.041359","     979.288968","   23522.433870"
"PLUMAS","Non-Residential","     111.194498","     101.767573","     105.365753","     102.865183","     102.361696","     110.594476","     126.445156","     117.916128","      97.832337","      99.007547","     114.161422","     112.369117","     120.319707","      91.418440","      92.954336","      99.285165","     122.358360","      93.942997","    1922.159891"
"PLUMAS","Residential","      93.918002","      98.847417","      97.073836","      91.395498","      98.527385","     101.517911","      97.831194","     101.476186","     102.119736","     103.351370","     103.643092","     103.579684","     103.455291","     102.518722","     101.288168","      96.163155","      96.900046","      92.753055","    1786.359748"
"RIVERSIDE","Non-Residential","    8275.205307","    8309.270050","    8274.151076","    8195.948845","    8772.332956","    8533.734939","    8610.271343","    7838.386027","    7727.855456","    7906.912973","    8327.566932","    8239.190522","    8255.029738","    7807.736576","    7639.761613","    7236.230474","    6615.841827","    5690.433379","  142255.860033"
"RIVERSIDE","Residential","    7705.522584","    7627.350939","    7196.655488","    7090.413146","    6776.627939","    6606.599319","    6675.290978","    6579.905887","    6336.530698","    6606.966602","    6772.741496","    6683.145526","    6903.024936","    5392.832655","    5019.323619","    5469.544420","    4833.109536","    4682.646008","  114958.231776"
"SACRAMENTO","Non-Residential","    6170.980299","    6278.966669","    6055.674434","    6188.144476","    6258.537182","    6131.164391","    6118.579838","    6108.526263","    6188.895407","    6263.720876","    6397.905676","    6424.637105","    6245.737350","    6139.143708","    5921.959591","    5667.032973","    5464.561228","    5519.164877","  109543.332343"
"SACRAMENTO","Residential","    4743.575384","    5243.254749","    4794.486673","    4738.564168","    4736.128873","    4696.630528","    4694.003209","    4641.834529","    4535.317684","    4733.907101","    4712.417028","    4651.136870","    4762.801421","    4577.200189","    4424.082572","    4380.257286","    4104.030415","    4035.378869","   83205.007548"
"SAN BENITO","Non-Residential","     252.254208","     254.772756","     262.422205","     249.320035","     240.410467","     237.904713","     214.973703","     199.141554","     191.977015","     198.602440","     198.347721","     203.553603","     199.058625","     188.987154","     194.409689","     184.001869","     204.730751","     211.088498","    3885.957006"
"SAN BENITO","Residential","     125.549319","     123.998455","     119.136813","     118.085033","     115.570436","     119.585348","     117.693532","     116.184779","     116.580686","     117.324686","     117.408193","     119.163344","     118.434274","     115.968163","     117.402202","     114.345084","     111.079190","     105.787621","    2109.297158"
"SAN BERNARDINO","Non-Residential","   10078.138838","   10063.191150","    9952.469757","    9806.131162","    9983.156200","    9678.784604","    9576.717223","    9010.781820","    8879.178372","    8986.865787","    9895.017284","   10012.848290","    9649.252806","    9467.588355","    9286.024917","    8897.857065","    8825.908832","    7446.701865","  169496.614327"
"SAN BERNARDINO","Residential","    5245.129928","    5211.227123","    4997.544199","    4953.489541","    4766.204869","    4688.605328","    4772.747052","    4717.853366","    4601.192617","    4797.692948","    4913.978699","    4785.970697","    4977.816006","    5242.335043","    5044.930376","    4251.328703","    3817.874281","    3717.467488","   85503.388264"
